[2021-05-19 04:17:05,875] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-05-19 04:17:06,024] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-05-19 04:32:04,208] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-05-19 04:32:04,349] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-05-19 04:32:57,756] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-05-19 04:32:57,756] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-05-19 04:32:57,757] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-05-19 04:32:57,757] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-05-19 04:35:29,139] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-05-19 04:35:29,270] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-05-19 04:41:22,444] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-05-19 04:41:22,445] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-05-19 04:41:22,446] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-05-19 04:41:22,446] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
